currency_co,open_dt,agreement_amt_rub,applied_amt_rub,month_pay_rub,term_cnt,region_name,score_day,score_hour,age,born_in_russia,gender,marital,education,child_minor,reg_fact,residence_period,work_status,website,gen_property,gen_exp,pre_exp,gen_industry,salary300,income_confirmation,flat_owner,house_owner,auto_owner,garage_owner,land_owner,account_owner,card_owner,current_credit,email_shown,work_phone_shown,home_phone_shown,current_phone_shown,mobile_phone_shown,phone_work_same,phone_reg_same,reg_state,auto_number_shown,inn_number_shown,drvlic_number_shown,pension_number_shown,UCI,OL,child_adult,previous_score,default
nom,lin,lin,lin,lin,lin,nom,nom,lin,lin,bin,bin,nom,nom,lin,bin,lin,nom,bin,nom,lin,lin,nom,lin,bin,nom,nom,nom ,bin,bin,bin,nom,bin,bin,bin,bin,bin,bin,bin,bin,nom,bin,bin,bin,bin,lin,lin,bin,lin,bin
1,733543,100000,100000,7393.5,36,2,4,14,25,1,0,1,3,0,0,72,3,0,5,9,0,20,25000,1,1,1,2,0,0,0,1,0,1,1,0,1,1,0,0,9,0,0,0,1,0,3000,0,33.8,0
1,733542,300000,300000,50204,12,2,4,17,35,1,1,2,3,2,1,396,3,0,5,48,0,25,120000,2,2,1,1,0,0,0,2,0,0,1,1,0,1,0,0,9,0,0,1,0,0,14300,0,46.3,0
1,733563,100000,100000,22405,60,2,2,17,34,0,1,2,2,1,0,60,1,0,5,28,97,16,45000,2,3,1,2,0,0,1,1,1,0,1,1,1,1,0,0,8,0,0,1,0,6500,8100,0,50.4121539,0
1,733563,300000,750000,52488,60,2,3,16,39,1,0,3,3,1,0,108,4,0,5,34,5,20,70000,1,3,1,1,0,0,1,3,0,1,1,1,1,1,0,0,8,0,0,1,0,40000,29500,0,41.44980443,0
1,733563,150000,300000,10650,60,2,3,14,36,1,1,2,2,1,1,360,2,0,5,9,48,19,35000,1,1,1,1,0,0,1,3,0,0,1,1,1,1,0,0,8,0,0,1,0,0,7500,0,41.8,0
1,733564,150000,150000,7600,60,2,3,12,48,1,0,2,3,0,1,13,4,1,5,72,96,20,22000,2,2,3,2,0,0,0,1,0,0,1,1,1,1,0,0,8,0,0,1,0,0,3600,0,51.3,1
1,733564,250000,250000,27980,60,2,2,17,25,1,1,1,2,0,1,84,3,0,5,11,52,20,60000,2,2,1,2,0,0,0,1,0,0,1,1,1,1,0,0,9,0,0,1,1,0,3500,0,34.8,0
2,733564,73822.775,408864.6,64907.25525,32,2,6,18,53,1,0,2,3,1,1,84,2,0,2,29,6,24,15225,1,3,1,2,0,0,0,2,0,0,1,1,1,1,0,0,8,0,0,0,1,0,3300,1,49.3,0
3,733565,320987.767,377355.2,184102.1682,60,2,3,10,30,1,1,1,3,0,1,12,3,0,5,84,24,20,50000,1,3,1,1,0,0,1,2,0,1,1,0,0,1,0,0,9,1,0,1,1,0,14274,0,43.3,0
1,733668,214324,300000,5678.3,60,2,6,13,37,1,1,2,3,1,1,4,2,0,1,9,15,21,31138,1,1,1,2,0,0,0,1,0,0,1,1,1,1,0,0,9,0,0,1,0,0,3400,0,35.8,0
1,733668,85763,150000,2272.2,60,7,2,17,22,1,1,1,2,0,0,14,2,0,3,12,0,13,11188,2,1,1,2,0,0,1,1,1,0,1,0,0,1,0,0,3,0,0,1,0,0,2150,0,36.76511628,0
3,733668,353770.5,353770.5,552957.9552,60,2,2,16,44,1,0,3,4,1,1,216,4,0,5,24,12,25,23490,1,2,1,3,0,0,0,1,0,1,1,1,1,1,0,0,8,0,1,0,0,55000,12000,1,37.30249725,0
1,733668,68849,140000,1786,60,7,2,18,24,0,0,1,2,0,1,228,1,0,5,13,0,20,10440,1,2,1,2,0,0,0,1,1,1,1,0,0,1,0,0,3,0,0,1,0,0,2000,0,38.3,1
